i,j,k,c_ijk
0,1,2,2*I
0,2,1,-2*I
0,4,8,1
0,5,7,-2
0,6,9,1
0,7,5,-2
0,8,4,4
0,9,6,4
1,0,2,-2*I
1,2,0,2*I
1,3,5,-2*I
1,5,3,2*I
1,6,10,1
1,8,11,-2*I
1,10,6,4
1,11,8,2*I
2,0,1,2*I
2,1,0,-2*I
2,3,7,2
2,4,11,1
2,7,3,2
2,9,10,2*I
2,10,9,-2*I
2,11,4,4
3,1,5,2*I
3,2,7,-2
3,5,1,-2*I
3,6,7,-1
3,7,2,-2
3,9,5,2
3,10,13,2*I
3,11,12,2
3,12,11,2
3,13,0,-2
3,13,10,-2*I
4,0,8,-1
4,2,11,-1
4,6,11,-1/2
4,7,12,1
4,8,0,4
4,9,14,1
4,10,8,-I
4,11,2,4
4,12,7,-4
4,14,1,-4*I
4,14,9,-4
5,0,7,2
5,1,3,-2*I
5,3,1,2*I
5,6,13,1
5,7,0,2
5,8,12,-2
5,9,3,-2
5,10,7,2*I
5,12,8,-2
5,13,2,-2
5,13,6,4
6,0,9,-1
6,1,10,-1
6,3,7,1
6,4,11,1/2
6,5,13,-1
6,7,3,1
6,8,14,1
6,9,10,2*I
6,10,9,-2*I
6,11,4,2
6,13,5,-1
6,14,8,1
7,0,5,2
7,2,3,-2
7,3,2,2
7,4,12,-1
7,5,0,-2
7,6,3,-1
7,9,13,2
7,10,5,2*I
7,12,4,4
7,13,1,-2*I
7,13,9,-2
8,0,4,-4
8,1,11,2*I
8,4,0,-4
8,5,12,2
8,6,14,-1
8,9,11,2
8,10,4,-4*I
8,11,1,-8*I
8,12,5,8
8,14,2,8
8,14,6,-16
9,0,6,-4
9,2,10,-2*I
9,3,5,-2
9,4,14,-1
9,5,3,2
9,6,10,-2*I
9,7,13,-2
9,8,11,-2
9,10,6,-8*I
9,11,8,2
9,13,7,2
9,14,4,4
10,1,6,-4
10,2,9,2*I
10,3,13,-2*I
10,4,8,I
10,5,7,-2*I
10,6,9,2*I
10,7,5,-2*I
10,8,4,4*I
10,9,6,8*I
10,11,14,-2*I
10,13,3,-2*I
10,14,11,-2*I
11,1,8,-2*I
11,2,4,-4
11,3,12,-2
11,4,2,-4
11,6,4,-2
11,8,1,8*I
11,9,8,-2
11,10,14,2*I
11,12,3,-8
11,14,0,-8
11,14,10,-8*I
12,3,11,-2
12,4,7,4
12,5,8,2
12,7,4,-4
12,8,5,-8
12,11,3,8
12,13,14,-2
12,14,13,8
13,3,0,2
13,3,10,2*I
13,5,2,2
13,5,6,-4
13,6,5,1
13,7,1,2*I
13,7,9,2
13,9,7,-2
13,10,3,2*I
13,12,14,2
13,14,12,-2
14,4,1,4*I
14,4,9,4
14,6,8,-1
14,8,2,-8
14,8,6,16
14,9,4,-4
14,10,11,2*I
14,11,0,8
14,11,10,8*I
14,12,13,-8
14,13,12,2
