Rank,n,I(n),Type,Note
1,127,0.000000,PRIME,
2,131,0.000000,PRIME,
3,137,0.000000,PRIME,← n=137
4,139,0.000000,PRIME,← n=139
5,149,0.000000,PRIME,
6,151,0.000000,PRIME,
7,157,0.000000,PRIME,
8,163,0.000000,PRIME,
9,167,0.000000,PRIME,
10,173,0.000000,PRIME,
11,179,0.000000,PRIME,
12,181,0.000000,PRIME,
13,191,0.000000,PRIME,
14,193,0.000000,PRIME,
15,197,0.000000,PRIME,
16,199,0.000000,PRIME,
17,113,0.000017,PRIME,
18,109,0.000019,PRIME,
19,107,0.000021,PRIME,
20,103,0.000024,PRIME,
21,101,0.000025,PRIME,
22,169,1.076923,composite,
23,121,1.090924,composite,
24,187,2.149733,composite,
25,143,2.167832,composite,
26,161,2.186375,composite,
27,133,2.195555,composite,
28,119,2.201768,composite,
29,185,2.227054,composite,
30,155,2.232301,composite,
31,145,2.234536,composite,
32,125,2.240083,composite,
33,115,2.243568,composite,
34,183,2.349755,composite,
35,177,2.350310,composite,
36,159,2.352237,composite,
37,141,2.354660,composite,
38,129,2.356646,composite,
39,123,2.357798,composite,
40,111,2.360447,composite,
41,194,2.510336,composite,
42,178,2.511266,composite,
43,166,2.512085,composite,
44,158,2.512702,composite,
45,146,2.513754,composite,
46,142,2.514143,composite,
47,134,2.514988,composite,
48,122,2.516472,composite,
49,118,2.517029,composite,
50,106,2.518964,composite,
51,175,4.411488,composite,
52,171,4.514683,composite,
53,153,4.522965,composite,
54,147,4.544317,composite,
55,117,4.547161,composite,
56,188,4.781968,composite,
57,172,4.784944,composite,
58,164,4.786655,composite,
59,148,4.790641,composite,
60,124,4.798530,composite,
61,116,4.801874,composite,
62,189,6.687919,composite,
63,195,6.718003,composite,
64,165,6.739459,composite,
65,135,6.770551,composite,
66,105,6.819331,composite,
67,182,6.840718,composite,
68,154,6.863731,composite,
69,190,6.889559,composite,
70,170,6.900099,composite,
71,130,6.930965,composite,
72,184,6.951172,composite,
73,110,6.954795,composite,
74,152,6.967247,composite,
75,136,6.978125,composite,
76,128,6.984569,composite,
77,104,7.009898,composite,
78,186,7.059225,composite,
79,174,7.063309,composite,
80,138,7.079884,composite,
81,114,7.096716,composite,
82,102,7.108134,composite,
83,196,8.030693,composite,
84,100,8.160417,composite,
85,176,9.108043,composite,
86,112,9.205674,composite,
87,162,9.234719,composite,
88,200,11.320134,composite,
89,160,11.356448,composite,
90,198,11.358698,composite,
91,140,11.393152,composite,
92,126,11.468582,composite,
93,150,11.473578,composite,
94,156,11.506576,composite,
95,132,11.538122,composite,
96,108,11.583749,composite,
97,192,13.640764,composite,
98,144,14.791995,composite,
99,168,15.851388,composite,
100,120,15.992159,composite,
101,180,18.027980,composite,
